5925.53166000 -51.63066600
5925.64099300 -51.59874000
5925.85966000 -51.54424600
5926.07832700 -51.56757200
5928.59299900 -51.54220700
5928.70233200 -51.69397000
5931.10767000 -51.47575000
5932.31033900 -51.52754300
5932.52900700 -51.69273100
5933.40367500 -51.63035100
5933.84100900 -51.63857100
5933.95034300 -51.52004200
5934.60634400 -51.45892400
5935.37167900 -51.56013200
5936.46501400 -51.60357800
5936.79301500 -51.45874700
5937.23034900 -51.51483900
5937.33968300 -51.47223500
5937.88635000 -51.70225400
5939.08901900 -51.41253200
5939.74502000 -51.51567800
5943.13436000 -51.50046900
5944.66503000 -51.40782300
5945.32103100 -51.58229300
5945.53969800 -51.47395900
5945.64903200 -51.59052400
5945.75836500 -51.61127200
5945.97703300 -51.53965200
5946.63303400 -51.51550000
5947.17970200 -51.47039700
5947.50770200 -51.54137600
5947.94503600 -51.63153500
5948.38237100 -51.63751500
5949.03837200 -51.42500000
5949.25703900 -51.61020300
5952.31837800 -51.48217800
5952.42771200 -51.54246800
5953.52104700 -51.54946700
5954.50504900 -51.45329000
5955.05171700 -51.67832300
5958.00372300 -51.34551400
5958.33172300 -51.41612300
5959.97172600 -51.55482300
5965.21973600 -51.63119200
5965.32907000 -51.37391000
5965.43840400 -51.67524200
5966.53173900 -51.60674500
5967.07840700 -51.57636400
5967.29707400 -51.67406000
5967.51574100 -51.53112800
5968.39040900 -51.51424400
5971.77974900 -51.37168300
5971.88908300 -51.47949000
5972.54508400 -51.57199700
5972.98241800 -51.40965900
5974.40375400 -51.62385900
5974.73175500 -51.58646500
5975.82509000 -51.65061700
5976.80909200 -51.47621100
5978.66776300 -51.59272400
5982.82243700 -51.48765800
5983.47843800 -51.49329200
5986.21177700 -51.53930600
5992.99045700 -51.52745500
5996.92646500 -51.55488100
5999.98780400 -51.58106600
6003.26781000 -51.53021700
6006.00114900 -51.68536000
6010.70249100 -51.56017500
6012.56116100 -51.49186000
